close,high,low,open,otc,timestamp,transactions,volume,vwap
191.56,191.95,180.3,182.16,,2024-01-14,2831809,259004813.0,186.2807
192.42,196.38,191.94,192.3,,2024-01-21,3024605,255527995.0,194.3906
185.85,192.2,179.25,192.01,,2024-01-28,3899504,325863483.0,186.6534
188.85,191.05,185.84,188.15,,2024-02-04,2997839,252701296.0,188.5156
182.31,188.67,181.35,188.415,,2024-02-11,3276455,268116341.0,184.1858
182.52,185.04,180.0,181.79,,2024-02-18,2397969,192281693.0,182.4784
179.66,183.9225,177.38,182.24,,2024-02-25,3605982,354262590.0,180.6569
170.73,176.9,168.49,176.15,,2024-03-03,4922901,392807515.0,171.1959
172.62,174.38,170.285,172.94,,2024-03-10,3753204,367107893.0,172.3508
172.28,178.67,170.06,175.57,,2024-03-17,4105462,361569938.0,174.2476
171.48,173.6,169.45,170.565,,2024-03-24,2730644,237612132.0,171.2826
169.58,171.92,168.2302,171.19,,2024-03-31,3028667,239017108.0,169.7184
176.55,178.36,167.11,169.03,,2024-04-07,3527910,321904119.0,172.181
165.0,176.63,164.075,175.36,,2024-04-14,3588086,308768348.0,169.3949
169.3,171.34,164.77,165.515,,2024-04-21,2923092,241232122.0,168.0533
183.38,187.0,169.11,173.37,,2024-04-28,4516941,440797504.0,177.3626
183.05,185.09,180.42,182.354,,2024-05-05,3274672,300369393.0,182.75
189.87,191.095,184.62,185.435,,2024-05-12,3058769,288873171.0,188.4692
189.98,192.8231,186.625,189.325,,2024-05-19,2588953,208652122.0,190.4342
192.25,193.0,189.1,191.51,,2024-05-26,2492906,230404285.0,191.2736
196.89,196.94,192.52,192.9,,2024-06-02,2980637,245955134.0,195.0578
212.49,220.2,192.15,196.9,,2024-06-09,6404770,635346793.0,208.3375
207.49,218.95,207.11,213.37,,2024-06-16,3842219,506149490.0,211.2739
210.62,216.07,206.59,207.72,,2024-06-23,3680755,335527385.0,211.6163
226.34,226.45,211.92,212.09,,2024-06-30,2809039,215236016.0,220.0123
230.54,233.08,223.25,227.09,,2024-07-07,3819277,287230324.0,229.147
224.31,237.23,222.27,236.48,,2024-07-14,3715196,276339352.0,229.4206
217.96,227.78,214.62,227.01,,2024-07-21,3418959,242930215.0,220.8114
219.86,225.6,215.75,216.96,,2024-07-28,3866657,295860686.0,220.5041
216.24,216.78,196.0,199.09,,2024-08-04,4543460,341617100.0,209.6953
226.05,226.8271,215.6,216.07,,2024-08-11,2877524,214869150.0,222.1439
226.84,228.34,223.04,225.72,,2024-08-18,2753157,188072897.0,225.9187
229.0,232.92,223.8905,226.76,,2024-08-25,2937715,209166101.0,228.5518
220.82,229.0,217.48,228.55,,2024-09-01,2745620,179054121.0,222.1314
222.5,224.04,216.71,220.82,,2024-09-08,3338692,237622179.0,220.7963
228.2,233.09,213.92,216.54,,2024-09-15,4135677,548632897.0,225.4694
227.79,229.52,224.02,227.34,,2024-09-22,2714785,210593980.0,227.0607
226.8,233.0,223.02,230.04,,2024-09-29,3121429,222298300.0,227.3106
227.55,229.75,221.33,224.5,,2024-10-06,2554354,164894870.0,226.4575
235.0,237.49,228.6,228.7,,2024-10-13,3009285,217518474.0,233.1576
231.41,236.85,227.76,234.45,,2024-10-20,2792425,197099834.0,232.7094
222.91,234.73,220.27,233.32,,2024-10-27,3261902,248207265.0,228.4367
226.96,228.66,219.71,220.99,,2024-11-03,3110227,207483442.0,224.5111
225.0,228.87,221.5,225.0,,2024-11-10,2428345,223817755.0,225.0919
229.87,230.7199,225.17,225.25,,2024-11-17,1973784,196249689.0,228.5848
237.33,237.81,229.74,231.46,,2024-11-24,1569527,197968837.0,233.9379
242.84,244.63,237.16,237.27,,2024-12-01,2063543,208286552.0,241.9551
248.13,250.8,241.75,241.83,,2024-12-08,2082565,192628974.0,247.3437
254.49,255.0,245.69,247.99,,2024-12-15,2584144,367870195.0,251.8165
255.59,260.1,253.06,254.77,,2024-12-22,1505719,133711783.0,256.236
243.36,253.5,241.8201,252.23,,2024-12-29,1962122,170373105.0,247.1711
